Glacier Name (FINAL),Country,State/Province/First Order Administrative Area,Latitude,Longitude,Coverage Spatial,GLIMS ID,Historical or Variant Name,Documentation Notes - CLEAN,Documentation Notes
Alsek Lake,United States,Alaska,59.1976439,-138.1255653,"Alsek Lake (Yakutat, Alaska, United States, North America) (lake)",,,"coordinates GNIS / coverage GNIS / no Getty, no GLIMS / 10/31/2018 EB - Yakutat A-1","coordinates GNIS / coverage GNIS / no Getty, no GLIMS / 10/31/2018 EB - Yakutat A-1 New as of 10/6/2018, needs coordinates (GNIS)"
Alsek River,United States,Alaska,,,"Alsek River (Yakutat, Alaska, United States, North America) (river)",,,General coverage for river.,
Altyn Peak,United States,Montana,48.8131504,-113.6564428,"Altyn Peak (Glacier, Montana, United States, North America) (peak)",,,,
Ama Dablam Glacier,Nepal,,27.88,86.88,"Ama Dablam Glacier (Nepal, Asia) (glacier)",G086885E27873N,,WGMS coordinates / Constructed / GLIMS from WGMS / 11/15/2018 KF,WGMS coordinates / Constructed / GLIMS from WGMS / 11/15/2018 KF
Amalia Glacier,Chile,Magallanes y de la Antártica Chilena,-50.945756,-73.766339,"Estero Amalia (Magallanes y de la Antártica Chilena, Chile, South America) (fjord); Campo de Hielo Sur (Chile, South America) (icecap)",,,"Coordinates are for Estero Amalia, at foot of Campo de Hielo Sur (NGA GeoNames) / constructed / No GLIMS / 11/7/2018 KF - probably refers to the glacier at head of Estero Amalia but is not named in any known authority.","Coordinates are for Estero Amalia, at foot of Campo de Hielo Sur (NGA GeoNames) / constructed / No GLIMS / 11/7/2018 KF - probably refers to the glacier at head of Estero Amalia but is not named in any known authority."
Amarillo Glacier,Chile,,-29.303,-70.001,"Amarillo Glacier (Chile, South America) (glacier); Cerros Los Amarillos (Argentina, South America) - (Chile, South America) (mountains)",,,"Coordinates visually confirmed in TopoView, secondary coverage from NGA GeoNames / No GLIMS / 11/7/2018 KF","Coordinates visually confirmed in TopoView, secondary coverage from NGA GeoNames / No GLIMS / 11/7/2018 KF"
Ameghino Glacier,Argentina,,-50.43,-73.19,"Ameghino Glacier (Argentina, South America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Amherst Glacier,United States,Alaska,61.0064946,-147.8253041,"Amherst Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G212170E61002N,,GNIS / Getty / GLIMS unverified / 10/04/2018 EB - Anchorage A-3 - GLIMS verified 12/18/18 AM,GNIS / Getty / GLIMS unverified / 10/04/2018 EB - Anchorage A-3 - GLIMS verified 12/18/18 AM
Ammertengletscher,Switzerland,Bern,46.415799,7.546591,"Ammertengletscher (Lenk, Bern, Switzerland, Europe) (glacier)",G007533E46414N; G007543E46416N; G007525E46407N,Ammertengletscher,http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field= coordinates & coverage Swiss Glaciers; 3 glims ID 2 for Ammerten E G007543E46416N; G007533E46414N and 1 for Ammerten W G007525E46407N 10/30/18 AM,http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field= coordinates & coverage Swiss Glaciers; 3 glims ID 2 for Ammerten E G007543E46416N; G007533E46414N and 1 for Ammerten W G007525E46407N 10/30/18 AM
Amphu Laptse Glacier,Nepal,,27.883333,86.933333,"Ambu Lapcha Glacier (Nepal, Asia) (glacier)",,Amphu Labtsa Glacier; Amphu Lapcha Glacier,NGA GeoNames / Constructed / No GLIMS / 11/15/2018 KF,NGA GeoNames / Constructed / No GLIMS / 11/15/2018 KF
Anchor Glacier,United States,Alaska,59.786972,-150.078308,"Anchor Glacier (Kenai Peninsula, Alaska, United States, North America) (glacier)",G209874E59787N,,Not in GNIS or Getty / GLIMS good 11/6/18 SB - Coordinates determined using Google Earth by referencing Ogive Glacier - Kenai Peninsula- coordinates from GNIS. Coverage built from Ogive glacier information; glims verified.,Not in GNIS or Getty / GLIMS good 11/6/18 SB - Coordinates determined using Google Earth by referencing Ogive Glacier - Kenai Peninsula- coordinates from GNIS. Coverage built from Ogive glacier information; glims verified. pregrant records updated 11/26/18 AM 
Anderson Glacier,United States,Alaska,61.0961111,-141.0958333,"Anderson Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G213271E61127N,,coordinates GNIS McCarthy A-1 map; coverage Getty; glims verified 2/13/18 AM,coordinates GNIS McCarthy A-1 map; coverage Getty; glims verified 2/13/18 AM
Andrews Glacier,United States,Colorado,40.2874847,-105.6838945,"Andrews Glacier (Larimer, Colorado, United States, North America) (glacier)",G254316E40288N,,GNIS / Getty / KF 2/5/2018  GLIMS 10/2/18 DLS,GNIS / Getty / KF 2/5/2018  GLIMS 10/2/18 DLS
Aneto Glacier,Spain,Aragon,42.63,0.65,"Aneto Glacier (Aragon, Spain, Europe) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Angel Glacier,Canada,British Columbia,52.6766666,-118.0622222,"Angel Glacier (British Columbia, Canada, North America) (glacier)",G241936E52675N,,coordinates Natural Resources Canada / coverage Natural Resources Canada / GLIMS verified / 10/31/2018 EB,coordinates Natural Resources Canada / coverage Natural Resources Canada / GLIMS verified / 10/31/2018 EB
Aniakchak Crater,United States,Alaska,56.9072222,-158.1488889,"Aniakchak Crater (Lake and Peninsula, Alaska, United States, North America) (crater)",,,coordinates GNIS; coverage built; no glims 12/10/18 AM,coordinates GNIS; coverage built; no glims 12/10/18 AM
,,,,,Antarctica (continent),,,General coverage for continent.,
"Antisana, Volcán",Ecuador,Napo,,,"Antisana, Volcán (Napo, Ecuador, South America) (volcano)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",Described in data set.
Antizana 15 Alpha Glacier,Ecuador,Napo,-0.47,-78.15,"Antizana 15 Alpha Glacier (Napo, Ecuador, South America) (glacier); Antisana, Volcán (Napo, Ecuador, South America) (volcano)",,,GPC coordinates (coordinates are close to the NGA GeoNames coordinates for Volcán Antisana - glacier on the volcano) / constructed / no GLIMS / 11/8/2018 KF,GPC coordinates (coordinates are close to the NGA GeoNames coordinates for Volcán Antisana - glacier on the volcano) / constructed / no GLIMS / 11/8/2018 KF
Antler Glacier,United States,Alaska,58.8455556,-134.6316667,"Antler Glacier (Juneau, Alaska, United States, North America) (glacier)",,,coordinates GNIS map name Juneau D-2; coverage built; no glims 8/17/18 AM,coordinates GNIS map name Juneau D-2; coverage built; no glims 8/17/18 AM
Applegate Glacier,United States,Alaska,60.4567544,-148.5985657,"Applegate Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G211403E60457N,,coordinates GNIS; coverage Getty; glims verified 3/19/18 AM,coordinates GNIS; coverage Getty; glims verified 3/19/18 AM
Arapaho Glacier,United States,Colorado,40.0222,-105.6472,"Arapaho Glacier (Boulder, Colorado, United States, North America) (glacier)",G254353E40023N,,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM
,United States,Colorado,,,"Arapahoe (Colorado, United States, North America) (county)",,,General coverage for county.,
Arenales Glacier,Chile,Aysén,-47.196387,-73.46916,"Arenales Glacier (Chile, South America) (glacier); Cerro Arenales (Aysén, Chile, South America) (mountain)",,,"Coordinates are for Cerro Arenales (probably ""glacier on Cerro Arenales"") NGA GeoNames / constructed / No GLIMS / 11/7/2018 KF - left coverage term for glacier, but it is unverified in any available authority","Coordinates are for Cerro Arenales (probably ""glacier on Cerro Arenales"") NGA GeoNames / constructed / No GLIMS / 11/7/2018 KF - left coverage term for glacier, but it is unverified in any available authority"
Arey Glacier,United States,Alaska,69.2289735,-143.8438824,"Arey Glacier (North Slope, Alaska, United States, North America) (glacier)",G216164E69232N,,coordinates GNIS; coverage Getty; glims verified 8/20/18 AM,coordinates GNIS; coverage Getty; glims verified 8/20/18 AM
Glacier d'Argentière,France,Auvergne-Rhône-Alpes,45.9535,6.9846,"Glacier d'Argentière (Haute-Savoie, Auvergne-Rhône-Alpes, France, Europe) (glacier)",,variant name: d'Argentière Glacier,coordinates NSIDC -coverage built - no glims verified 10/22/18 AM coordinates changed to wgms csv 11/14/18 AM,coordaintes NSIDC -coverage built - no glims verified 10/22/18 AM coordinates changed to wgms csv 11/14/18 AM
,Argentina,,,,Argentina (South America) (nation),,,General coverage for country.,
Arikaree Glacier,United States,Colorado,40.05,-105.641667,"Arikaree Glacier (Boulder, Colorado, United States, North America) (glacier)",G254358E40049N,,coordinates GNIS map name Monarch Lake; coverage built; glims verified 7/5/18 AM,coordinates GNIS map name Monarch Lake; coverage built; glims verified 7/5/18 AM
Arolla Glacier,Switzerland,Valais,45.981354,7.49025,"Arolla Glacier (Evoléne, Valais, Switzerland, Europe) (glacier)",G007495E45979N,"Arolla (Mont Collon); Bas Glacier d'Arolla
",http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field= coordinates & coverage Swiss Glaciers; glims changed to correct glacier 10/30/18 AM,http://swiss-glaciers.glaciology.ethz.ch/glacierlist?year=2017&submit=Go%2521&order=&field= coordinates & coverage Swiss Glaciers; glims changed to correct glacier 10/30/18 AM
Arrigetch Creek,United States,Alaska,67.3869444,-154.2011111,"Arrigetch Creek (Yukon-Koyukuk, Alaska, United States, North America) (creek)",,,General coverage for river.,
Arrigetch Peaks,United States,Alaska,67.4219444,-154.2177778,"Arrigetch Peaks (Yukon-Koyukuk, Alaska, United States, North America) (summit)",,,coordinates GNIS; coverage built; no glims 7/5/18 AM,coordinates GNIS; coverage built; no glims 7/5/18 AM
Art Lewis Glacier,United States,Alaska,59.8016766,-138.8357395,"Art Lewis Glacier (Yakutat, Alaska, United States, North America) (glacier)",G221332E59802N,Artlewis Glacier,GNIS / Getty / GLIMS unverified / 10/4/2018 EB - Yakutat D-3,GNIS / Getty / GLIMS unverified / 10/4/2018 EB - Yakutat D-3
Artesonraju Glacier,Peru,Ancash,-8.95,-77.62,"Artesonraju Glacier (Ancash, Peru, South America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
,,,,,Asia (continent),,,General coverage for continent.,
Ventisquero Brujo,Chile,,-50.807081,-73.645867,"Ventisquero Brujo [Asia Glacier] (Chile, South America) (glacier)",,,"NGA GeoNames / Constructed / No GLIMS / 2/13/2019 KF - ""Asia Glacier"" is in reference to Estero Asia at the base of the glacier, and the glacier may occasionally be referred to by this name. ","NGA GeoNames / Constructed / No GLIMS / 2/13/2019 KF - ""Asia Glacier"" is in reference to Estero Asia at the base of the glacier, and the glacier may occasionally be referred to by this name. "
Athabasca Glacier,Canada,Alberta,52.1986111,-117.2436111,"Athabasca Glacier (Alberta, Canada, North America) (glacier)",G242719E52168N,,coordinates & coverage Natural Resources Canada; glims verified 10/25/18 AM,coordinates & coverage Natural Resources Canada; glims verified 10/25/18 AM
Augustine Island,United States,Alaska,59.3627778,-153.4305556,"Augustine Island (Kenai Peninsula, Alaska, United States, North America) (island)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Aurel Glacier,United States,Alaska,59.2375,-135.95,"Aurel Glacier (Haines, Alaska, United States, North America) (glacier)",,,GNIS / not listed in Getty / GLIMS unverified / 10/4/2018 EB - Skagway A-3,GNIS / not listed in Getty / GLIMS unverified / 10/4/2018 EB - Skagway A-3
Austdalsbreen Glacier,Norway,Sogn og Fjordane,61.8191306,7.3476583,"Austdalsbreen (Sogn og Fjordane, Norway, Europe) (glacier)",G007335E61826N,Austdalsbreen Glacier,"Norgeskart.no (Norwegian Name authority) / constructed / GLIMS good 10/23/18 SB, checked 11/6/2018 KF","Norgeskart.no (Norwegian Name authority) / constructed / GLIMS good 10/23/18 SB, checked 11/6/2018 KF"
Austerdalsbreen Glacier,Norway,Sogn og Fjordane,61.6,6.966667,"Austerdalsbreen (Sogn og Fjordane, Norway, Europe) (glacier)",G006933E61617N,Austerdalsbræ; Austerdalsbreen Glacier,NGA GeoNames / constructed / GLIMS / 11/6/2018 KF,NGA GeoNames / constructed / GLIMS / 11/6/2018 KF
Austre Broggerbreen Glacier,Svalbard and Jan Mayen,Svalbard,78.88,11.83,"Austre Broggerbreen Glacier (Svalbard, Svalbard and Jan Mayen, Europe) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Austre Lovenbreen Glacier,Svalbard and Jan Mayen,Svalbard,78.52,12.09,"Austre Lovenbreen Glacier (Svalbard, Svalbard and Jan Mayen, Europe) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Austre Okstindbreen Glacier,Norway,Nordland,66.0139278,14.2932361,"Austre Okstindbreen (Nordland, Norway, Europe) (glacier)",G014296E66006N,Austre Okstindbreen Glacier,Norgeskart / Constructed / GLIMS / 11/19/2018 KF,Norgeskart / Constructed / GLIMS / 11/19/2018 KF
Austre Torrell Glacier,Svalbard and Jan Mayen,Svalbard,77.18,15.33,"Austre Torrell Glacier (Svalbard, Svalbard and Jan Mayen, Europe) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
,Austria,,,,Austria (Europe) (nation),,,General coverage for country.,
Auvergne-Rhône-Alpes,France,Auvergne-Rhône-Alpes,,,"Auvergne-Rhône-Alpes (France, Europe) (administrative division)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",Described in data set.
Avalanche Canyon,United States,Wyoming,43.7060335,-110.7633152,"Avalanche Canyon (Teton, Wyoming, United States, North America) (canyon)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Avalanche Glacier,United States,Washington,46.1999276,-121.5040193,"Avalanche Glacier (Yakima, Washington, United States, North America) (glacier)",G238482E46182N,,coordinates GNIS Mt. Adams West; coverage built; ,coordiantes GNIS Mt. Adams West; coverage built; 
Avangnardleq Glacier,Greenland,,70.05,-50.3333,"Avangnardleq Glacier (Greenland, North America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Ax010 Glacier,Nepal,,27.7,86.57,"Ax010 Glacier (Nepal, Asia) (glacier)",,,WGMS coordinates / Constructed / No GLIMS / 11/15/2018 KF,WGMS coordinates / Constructed / No GLIMS / 11/15/2018 KF
Baby Glacier (Montana),United States,Montana,48.9053435,-114.1545925,"Baby Glacier (Flathead, Montana, United States, North America) (glacier)",G245844E48906N,,coordinates GNIS; coverage Getty; glims verified 7/6/18 AM,coordinates GNIS; coverage Getty; glims verified 7/6/18 AM
Baby Glacier (Nunavut),Canada,Nunavut,79.44,-90.966667,"Baby Glacier (Nunavut, Canada, North America) (glacier)",G269034E79442N,,coordinates & coverage Natural Resources Canada glims verified 10/25/18 AM,coordinates & coverage Natural Resources Canada glims verified 10/25/18 AM
Baby Glacier (Wyoming),United States,Wyoming,43.1710612,-109.6834846,"Baby Glacier (Sublette, Wyoming, United States, North America) (glacier)",G250318E43171N,,"GNIS / Getty / GLIMS / 10/1/2018 KF - Gannett Peak
","GNIS / Getty / GLIMS / 10/1/2018 KF - Gannett Peak
"
Bächligletscher,Switzerland,Bern,46.5884,8.24763,"Bächligletscher (Guttannen, Bern, Switzerland, Europe) (glacier)",G008248E46587N,Bächligletscher,coverage built; unable to find glims id 10/25/18 AM - coordinates & glims from WGMS csv 11/08/18 AM,coverage built; unable to find glims id 10/25/18 AM - coordinates & glims from WGMS csv 11/08/18 AM
Bacon Peak,United States,Washington,48.6637326,-121.5204127,"Bacon Peak (Whatcom, Washington, United States, North America) (peak)",,,coordinates GNIS; coverage Getty 8/13/18 AM,coordinates GNIS; coverage Getty 8/13/18 AM
Baffin Bay,Canada,Nunavut,74,-68,"Baffin Bay (Nunavut, Canada, North America) (bay)",,,"New as of 10/6/2018, needs coordinates--HB; coordinates & coverage from Natural Resources Canada - no glims verified 10/22/18 AM","New as of 10/6/2018, needs coordinates--HB; coordinates & coverage from Natural Resources Canada - no glims verified 10/22/18 AM"
Baffin Island,Canada,Nunavut,68,-70,"Baffin Island (Nunavut, Canada, North America) (island)",,,coordinates Natural Resources Canada / coverage Natural Resources Canada / no GLIMS 11/6/18 SB,coordinates Natural Resources Canada / coverage Natural Resources Canada / no GLIMS 11/6/18 SB
Bagley Ice Valley,United States,Alaska,60.4836111,-141.5836111,"Bagley Ice Valley (Valdez-Cordova, Alaska, United States, North America) (valley)",,"Bagley Ice Field, Bagley Icefield ",coordinates GNIS / coverage GNIS / no GLIMS / 11/1/2018 EB - Bering Glacier B-2,coordinates GNIS / coverage GNIS / no GLIMS / 11/1/2018 EB - Bering Glacier B-2
